name,ngpus,TP,PP,EP,CP,DP,sub_seq_length,micro_batch_size,num_of_micro_batches,pipeline_parallelism_bubble_rate,data_parallel_sharding_strategy,total_memory_gb,model_and_optimizer_states_memory_gb,activations_memory_gb,cross_entropy_activation_memory_gb,practice_activations_memory_gb,expert_parameters_m,non_expert_parameters_m,expert_layers_activations_gb,practice_expert_layers_activations_gb,non_expert_layers_activations_gb,mlp_activation_mb,moe_activation_mb,token_imbalance_hypothesis
LLaMA-3.1 405B,8,1,1,1,2,4,4096,1,1024.0,0.0,FULLY_SHARD,1796.361328125,1511.90625,284.455078125,4.892578125,284.455078125,0.0,387048.0,0.0,0.0,284.455078125,1376.0,128.0,1.0
LLaMA-3.1 405B,8,1,1,1,2,4,4096,2,512.0,0.0,FULLY_SHARD,2080.81640625,1511.90625,568.91015625,9.78515625,568.91015625,0.0,387048.0,0.0,0.0,568.91015625,2752.0,256.0,1.0
LLaMA-3.1 405B,8,1,1,1,2,4,4096,4,256.0,0.0,FULLY_SHARD,2649.7265625,1511.90625,1137.8203125,19.5703125,1137.8203125,0.0,387048.0,0.0,0.0,1137.8203125,5504.0,512.0,1.0
LLaMA-3.1 405B,8,1,1,1,4,2,2048,1,2048.0,0.0,NO_OP,6945.8056640625,6803.578125,142.2275390625,2.4462890625,142.2275390625,0.0,387048.0,0.0,0.0,142.2275390625,688.0,64.0,1.0
LLaMA-3.1 405B,8,1,1,1,4,2,2048,2,1024.0,0.0,NO_OP,7088.033203125,6803.578125,284.455078125,4.892578125,284.455078125,0.0,387048.0,0.0,0.0,284.455078125,1376.0,128.0,1.0
LLaMA-3.1 405B,8,1,1,1,4,2,2048,4,512.0,0.0,NO_OP,7372.48828125,6803.578125,568.91015625,9.78515625,568.91015625,0.0,387048.0,0.0,0.0,568.91015625,2752.0,256.0,1.0
LLaMA-3.1 405B,8,1,1,1,4,2,2048,1,2048.0,0.0,OPTIMIZER_STATES,4677.9462890625,4535.71875,142.2275390625,2.4462890625,142.2275390625,0.0,387048.0,0.0,0.0,142.2275390625,688.0,64.0,1.0
LLaMA-3.1 405B,8,1,1,1,4,2,2048,2,1024.0,0.0,OPTIMIZER_STATES,4820.173828125,4535.71875,284.455078125,4.892578125,284.455078125,0.0,387048.0,0.0,0.0,284.455078125,1376.0,128.0,1.0
LLaMA-3.1 405B,8,1,1,1,4,2,2048,4,512.0,0.0,OPTIMIZER_STATES,5104.62890625,4535.71875,568.91015625,9.78515625,568.91015625,0.0,387048.0,0.0,0.0,568.91015625,2752.0,256.0,1.0
LLaMA-3.1 405B,8,1,1,1,4,2,2048,1,2048.0,0.0,OPTIMIZER_STATES_AND_GRADS,3921.9931640625,3779.765625,142.2275390625,2.4462890625,142.2275390625,0.0,387048.0,0.0,0.0,142.2275390625,688.0,64.0,1.0
LLaMA-3.1 405B,8,1,1,1,4,2,2048,2,1024.0,0.0,OPTIMIZER_STATES_AND_GRADS,4064.220703125,3779.765625,284.455078125,4.892578125,284.455078125,0.0,387048.0,0.0,0.0,284.455078125,1376.0,128.0,1.0
LLaMA-3.1 405B,8,1,1,1,4,2,2048,4,512.0,0.0,OPTIMIZER_STATES_AND_GRADS,4348.67578125,3779.765625,568.91015625,9.78515625,568.91015625,0.0,387048.0,0.0,0.0,568.91015625,2752.0,256.0,1.0
