name,ngpus,TP,PP,EP,CP,DP,sub_seq_length,micro_batch_size,num_of_micro_batches,pipeline_parallelism_bubble_rate,data_parallel_sharding_strategy,total_memory_gb,model_and_optimizer_states_memory_gb,activations_memory_gb,cross_entropy_activation_memory_gb,practice_activations_memory_gb,expert_parameters_m,non_expert_parameters_m,expert_layers_activations_gb,practice_expert_layers_activations_gb,non_expert_layers_activations_gb,mlp_activation_mb,moe_activation_mb,token_imbalance_hypothesis
LLaMA-3.1 70B,8,1,1,1,1,8,8192,1,512.0,0.0,NO_OP,1377.51171875,1182.7265625,194.78515625,9.78515625,194.78515625,0.0,67284.0,0.0,0.0,194.78515625,1472.0,128.0,1.0
LLaMA-3.1 70B,8,1,1,1,1,8,8192,2,256.0,0.0,NO_OP,1572.296875,1182.7265625,389.5703125,19.5703125,389.5703125,0.0,67284.0,0.0,0.0,389.5703125,2944.0,256.0,1.0
LLaMA-3.1 70B,8,1,1,1,1,8,8192,4,128.0,0.0,NO_OP,1961.8671875,1182.7265625,779.140625,39.140625,779.140625,0.0,67284.0,0.0,0.0,779.140625,5888.0,512.0,1.0
LLaMA-3.1 70B,8,1,1,1,1,8,8192,1,512.0,0.0,OPTIMIZER_STATES,687.587890625,492.802734375,194.78515625,9.78515625,194.78515625,0.0,67284.0,0.0,0.0,194.78515625,1472.0,128.0,1.0
LLaMA-3.1 70B,8,1,1,1,1,8,8192,2,256.0,0.0,OPTIMIZER_STATES,882.373046875,492.802734375,389.5703125,19.5703125,389.5703125,0.0,67284.0,0.0,0.0,389.5703125,2944.0,256.0,1.0
LLaMA-3.1 70B,8,1,1,1,1,8,8192,4,128.0,0.0,OPTIMIZER_STATES,1271.943359375,492.802734375,779.140625,39.140625,779.140625,0.0,67284.0,0.0,0.0,779.140625,5888.0,512.0,1.0
LLaMA-3.1 70B,8,1,1,1,1,8,8192,1,512.0,0.0,OPTIMIZER_STATES_AND_GRADS,457.61328125,262.828125,194.78515625,9.78515625,194.78515625,0.0,67284.0,0.0,0.0,194.78515625,1472.0,128.0,1.0
LLaMA-3.1 70B,8,1,1,1,1,8,8192,2,256.0,0.0,OPTIMIZER_STATES_AND_GRADS,652.3984375,262.828125,389.5703125,19.5703125,389.5703125,0.0,67284.0,0.0,0.0,389.5703125,2944.0,256.0,1.0
LLaMA-3.1 70B,8,1,1,1,1,8,8192,4,128.0,0.0,OPTIMIZER_STATES_AND_GRADS,1041.96875,262.828125,779.140625,39.140625,779.140625,0.0,67284.0,0.0,0.0,779.140625,5888.0,512.0,1.0
LLaMA-3.1 70B,8,1,1,1,1,8,8192,1,512.0,0.0,FULLY_SHARD,326.19921875,131.4140625,194.78515625,9.78515625,194.78515625,0.0,67284.0,0.0,0.0,194.78515625,1472.0,128.0,1.0
LLaMA-3.1 70B,8,1,1,1,1,8,8192,2,256.0,0.0,FULLY_SHARD,520.984375,131.4140625,389.5703125,19.5703125,389.5703125,0.0,67284.0,0.0,0.0,389.5703125,2944.0,256.0,1.0
LLaMA-3.1 70B,8,1,1,1,1,8,8192,4,128.0,0.0,FULLY_SHARD,910.5546875,131.4140625,779.140625,39.140625,779.140625,0.0,67284.0,0.0,0.0,779.140625,5888.0,512.0,1.0
LLaMA-3.1 70B,8,1,1,1,2,4,4096,1,1024.0,0.0,NO_OP,1280.119140625,1182.7265625,97.392578125,4.892578125,97.392578125,0.0,67284.0,0.0,0.0,97.392578125,736.0,64.0,1.0
LLaMA-3.1 70B,8,1,1,1,2,4,4096,2,512.0,0.0,NO_OP,1377.51171875,1182.7265625,194.78515625,9.78515625,194.78515625,0.0,67284.0,0.0,0.0,194.78515625,1472.0,128.0,1.0
LLaMA-3.1 70B,8,1,1,1,2,4,4096,4,256.0,0.0,NO_OP,1572.296875,1182.7265625,389.5703125,19.5703125,389.5703125,0.0,67284.0,0.0,0.0,389.5703125,2944.0,256.0,1.0
LLaMA-3.1 70B,8,1,1,1,2,4,4096,1,1024.0,0.0,OPTIMIZER_STATES,688.755859375,591.36328125,97.392578125,4.892578125,97.392578125,0.0,67284.0,0.0,0.0,97.392578125,736.0,64.0,1.0
LLaMA-3.1 70B,8,1,1,1,2,4,4096,2,512.0,0.0,OPTIMIZER_STATES,786.1484375,591.36328125,194.78515625,9.78515625,194.78515625,0.0,67284.0,0.0,0.0,194.78515625,1472.0,128.0,1.0
LLaMA-3.1 70B,8,1,1,1,2,4,4096,4,256.0,0.0,OPTIMIZER_STATES,980.93359375,591.36328125,389.5703125,19.5703125,389.5703125,0.0,67284.0,0.0,0.0,389.5703125,2944.0,256.0,1.0
LLaMA-3.1 70B,8,1,1,1,2,4,4096,1,1024.0,0.0,OPTIMIZER_STATES_AND_GRADS,491.634765625,394.2421875,97.392578125,4.892578125,97.392578125,0.0,67284.0,0.0,0.0,97.392578125,736.0,64.0,1.0
LLaMA-3.1 70B,8,1,1,1,2,4,4096,2,512.0,0.0,OPTIMIZER_STATES_AND_GRADS,589.02734375,394.2421875,194.78515625,9.78515625,194.78515625,0.0,67284.0,0.0,0.0,194.78515625,1472.0,128.0,1.0
LLaMA-3.1 70B,8,1,1,1,2,4,4096,4,256.0,0.0,OPTIMIZER_STATES_AND_GRADS,783.8125,394.2421875,389.5703125,19.5703125,389.5703125,0.0,67284.0,0.0,0.0,389.5703125,2944.0,256.0,1.0
LLaMA-3.1 70B,8,1,1,1,2,4,4096,1,1024.0,0.0,FULLY_SHARD,360.220703125,262.828125,97.392578125,4.892578125,97.392578125,0.0,67284.0,0.0,0.0,97.392578125,736.0,64.0,1.0
LLaMA-3.1 70B,8,1,1,1,2,4,4096,2,512.0,0.0,FULLY_SHARD,457.61328125,262.828125,194.78515625,9.78515625,194.78515625,0.0,67284.0,0.0,0.0,194.78515625,1472.0,128.0,1.0
LLaMA-3.1 70B,8,1,1,1,2,4,4096,4,256.0,0.0,FULLY_SHARD,652.3984375,262.828125,389.5703125,19.5703125,389.5703125,0.0,67284.0,0.0,0.0,389.5703125,2944.0,256.0,1.0
LLaMA-3.1 70B,8,1,1,1,4,2,2048,1,2048.0,0.0,NO_OP,1231.4228515625,1182.7265625,48.6962890625,2.4462890625,48.6962890625,0.0,67284.0,0.0,0.0,48.6962890625,368.0,32.0,1.0
LLaMA-3.1 70B,8,1,1,1,4,2,2048,2,1024.0,0.0,NO_OP,1280.119140625,1182.7265625,97.392578125,4.892578125,97.392578125,0.0,67284.0,0.0,0.0,97.392578125,736.0,64.0,1.0
LLaMA-3.1 70B,8,1,1,1,4,2,2048,4,512.0,0.0,NO_OP,1377.51171875,1182.7265625,194.78515625,9.78515625,194.78515625,0.0,67284.0,0.0,0.0,194.78515625,1472.0,128.0,1.0
LLaMA-3.1 70B,8,1,1,1,4,2,2048,1,2048.0,0.0,OPTIMIZER_STATES,837.1806640625,788.484375,48.6962890625,2.4462890625,48.6962890625,0.0,67284.0,0.0,0.0,48.6962890625,368.0,32.0,1.0
LLaMA-3.1 70B,8,1,1,1,4,2,2048,2,1024.0,0.0,OPTIMIZER_STATES,885.876953125,788.484375,97.392578125,4.892578125,97.392578125,0.0,67284.0,0.0,0.0,97.392578125,736.0,64.0,1.0
LLaMA-3.1 70B,8,1,1,1,4,2,2048,4,512.0,0.0,OPTIMIZER_STATES,983.26953125,788.484375,194.78515625,9.78515625,194.78515625,0.0,67284.0,0.0,0.0,194.78515625,1472.0,128.0,1.0
LLaMA-3.1 70B,8,1,1,1,4,2,2048,1,2048.0,0.0,OPTIMIZER_STATES_AND_GRADS,705.7666015625,657.0703125,48.6962890625,2.4462890625,48.6962890625,0.0,67284.0,0.0,0.0,48.6962890625,368.0,32.0,1.0
LLaMA-3.1 70B,8,1,1,1,4,2,2048,2,1024.0,0.0,OPTIMIZER_STATES_AND_GRADS,754.462890625,657.0703125,97.392578125,4.892578125,97.392578125,0.0,67284.0,0.0,0.0,97.392578125,736.0,64.0,1.0
LLaMA-3.1 70B,8,1,1,1,4,2,2048,4,512.0,0.0,OPTIMIZER_STATES_AND_GRADS,851.85546875,657.0703125,194.78515625,9.78515625,194.78515625,0.0,67284.0,0.0,0.0,194.78515625,1472.0,128.0,1.0
LLaMA-3.1 70B,8,1,1,1,4,2,2048,1,2048.0,0.0,FULLY_SHARD,574.3525390625,525.65625,48.6962890625,2.4462890625,48.6962890625,0.0,67284.0,0.0,0.0,48.6962890625,368.0,32.0,1.0
LLaMA-3.1 70B,8,1,1,1,4,2,2048,2,1024.0,0.0,FULLY_SHARD,623.048828125,525.65625,97.392578125,4.892578125,97.392578125,0.0,67284.0,0.0,0.0,97.392578125,736.0,64.0,1.0
LLaMA-3.1 70B,8,1,1,1,4,2,2048,4,512.0,0.0,FULLY_SHARD,720.44140625,525.65625,194.78515625,9.78515625,194.78515625,0.0,67284.0,0.0,0.0,194.78515625,1472.0,128.0,1.0
LLaMA-3.1 70B,8,1,1,1,8,1,1024,1,4096.0,0.0,NO_OP,1207.07470703125,1182.7265625,24.34814453125,1.22314453125,24.34814453125,0.0,67284.0,0.0,0.0,24.34814453125,184.0,16.0,1.0
LLaMA-3.1 70B,8,1,1,1,8,1,1024,2,2048.0,0.0,NO_OP,1231.4228515625,1182.7265625,48.6962890625,2.4462890625,48.6962890625,0.0,67284.0,0.0,0.0,48.6962890625,368.0,32.0,1.0
LLaMA-3.1 70B,8,1,1,1,8,1,1024,4,1024.0,0.0,NO_OP,1280.119140625,1182.7265625,97.392578125,4.892578125,97.392578125,0.0,67284.0,0.0,0.0,97.392578125,736.0,64.0,1.0
LLaMA-3.1 70B,8,1,1,1,8,1,1024,1,4096.0,0.0,OPTIMIZER_STATES,1207.07470703125,1182.7265625,24.34814453125,1.22314453125,24.34814453125,0.0,67284.0,0.0,0.0,24.34814453125,184.0,16.0,1.0
LLaMA-3.1 70B,8,1,1,1,8,1,1024,2,2048.0,0.0,OPTIMIZER_STATES,1231.4228515625,1182.7265625,48.6962890625,2.4462890625,48.6962890625,0.0,67284.0,0.0,0.0,48.6962890625,368.0,32.0,1.0
LLaMA-3.1 70B,8,1,1,1,8,1,1024,4,1024.0,0.0,OPTIMIZER_STATES,1280.119140625,1182.7265625,97.392578125,4.892578125,97.392578125,0.0,67284.0,0.0,0.0,97.392578125,736.0,64.0,1.0
