name,ngpus,TP,PP,EP,CP,DP,sub_seq_length,micro_batch_size,num_of_micro_batches,pipeline_parallelism_bubble_rate,data_parallel_sharding_strategy,total_memory_gb,model_and_optimizer_states_memory_gb,activations_memory_gb,cross_entropy_activation_memory_gb,practice_activations_memory_gb,expert_parameters_m,non_expert_parameters_m,expert_layers_activations_gb,practice_expert_layers_activations_gb,non_expert_layers_activations_gb,mlp_activation_mb,moe_activation_mb,token_imbalance_hypothesis
LLaMA-3.1 8B,8,1,1,1,1,8,8192,1,512.0,0.0,NO_OP,181.3984375,134.61328125,46.78515625,9.78515625,46.78515625,0.0,7658.0,0.0,0.0,46.78515625,736.0,64.0,1.0
LLaMA-3.1 8B,8,1,1,1,1,8,8192,2,256.0,0.0,NO_OP,228.18359375,134.61328125,93.5703125,19.5703125,93.5703125,0.0,7658.0,0.0,0.0,93.5703125,1472.0,128.0,1.0
LLaMA-3.1 8B,8,1,1,1,1,8,8192,4,128.0,0.0,NO_OP,321.75390625,134.61328125,187.140625,39.140625,187.140625,0.0,7658.0,0.0,0.0,187.140625,2944.0,256.0,1.0
LLaMA-3.1 8B,8,1,1,1,1,8,8192,1,512.0,0.0,OPTIMIZER_STATES,102.8740234375,56.0888671875,46.78515625,9.78515625,46.78515625,0.0,7658.0,0.0,0.0,46.78515625,736.0,64.0,1.0
LLaMA-3.1 8B,8,1,1,1,1,8,8192,2,256.0,0.0,OPTIMIZER_STATES,149.6591796875,56.0888671875,93.5703125,19.5703125,93.5703125,0.0,7658.0,0.0,0.0,93.5703125,1472.0,128.0,1.0
LLaMA-3.1 8B,8,1,1,1,1,8,8192,4,128.0,0.0,OPTIMIZER_STATES,243.2294921875,56.0888671875,187.140625,39.140625,187.140625,0.0,7658.0,0.0,0.0,187.140625,2944.0,256.0,1.0
LLaMA-3.1 8B,8,1,1,1,1,8,8192,1,512.0,0.0,OPTIMIZER_STATES_AND_GRADS,76.69921875,29.9140625,46.78515625,9.78515625,46.78515625,0.0,7658.0,0.0,0.0,46.78515625,736.0,64.0,1.0
LLaMA-3.1 8B,8,1,1,1,1,8,8192,2,256.0,0.0,OPTIMIZER_STATES_AND_GRADS,123.484375,29.9140625,93.5703125,19.5703125,93.5703125,0.0,7658.0,0.0,0.0,93.5703125,1472.0,128.0,1.0
LLaMA-3.1 8B,8,1,1,1,1,8,8192,4,128.0,0.0,OPTIMIZER_STATES_AND_GRADS,217.0546875,29.9140625,187.140625,39.140625,187.140625,0.0,7658.0,0.0,0.0,187.140625,2944.0,256.0,1.0
LLaMA-3.1 8B,8,1,1,1,1,8,8192,1,512.0,0.0,FULLY_SHARD,61.7421875,14.95703125,46.78515625,9.78515625,46.78515625,0.0,7658.0,0.0,0.0,46.78515625,736.0,64.0,1.0
LLaMA-3.1 8B,8,1,1,1,1,8,8192,2,256.0,0.0,FULLY_SHARD,108.52734375,14.95703125,93.5703125,19.5703125,93.5703125,0.0,7658.0,0.0,0.0,93.5703125,1472.0,128.0,1.0
LLaMA-3.1 8B,8,1,1,1,1,8,8192,4,128.0,0.0,FULLY_SHARD,202.09765625,14.95703125,187.140625,39.140625,187.140625,0.0,7658.0,0.0,0.0,187.140625,2944.0,256.0,1.0
LLaMA-3.1 8B,8,1,1,1,2,4,4096,1,1024.0,0.0,NO_OP,158.005859375,134.61328125,23.392578125,4.892578125,23.392578125,0.0,7658.0,0.0,0.0,23.392578125,368.0,32.0,1.0
LLaMA-3.1 8B,8,1,1,1,2,4,4096,2,512.0,0.0,NO_OP,181.3984375,134.61328125,46.78515625,9.78515625,46.78515625,0.0,7658.0,0.0,0.0,46.78515625,736.0,64.0,1.0
LLaMA-3.1 8B,8,1,1,1,2,4,4096,4,256.0,0.0,NO_OP,228.18359375,134.61328125,93.5703125,19.5703125,93.5703125,0.0,7658.0,0.0,0.0,93.5703125,1472.0,128.0,1.0
LLaMA-3.1 8B,8,1,1,1,2,4,4096,1,1024.0,0.0,OPTIMIZER_STATES,90.69921875,67.306640625,23.392578125,4.892578125,23.392578125,0.0,7658.0,0.0,0.0,23.392578125,368.0,32.0,1.0
LLaMA-3.1 8B,8,1,1,1,2,4,4096,2,512.0,0.0,OPTIMIZER_STATES,114.091796875,67.306640625,46.78515625,9.78515625,46.78515625,0.0,7658.0,0.0,0.0,46.78515625,736.0,64.0,1.0
